matrix,family,m,n,w_fro,direction,eta,step_fro,kl,kl_per_step2
model.layers.7.self_attn.o_proj.weight,self_attn,1024,2048,16.176931381225586,spec_scale,0.001,0.016176931381225588,9.666664157508222e-08,0.0003693893277383279
model.layers.7.self_attn.o_proj.weight,self_attn,1024,2048,16.176931381225586,spec_scale,0.003,0.04853079414367676,8.827314289693951e-07,0.0003747950043198885
model.layers.7.self_attn.o_proj.weight,self_attn,1024,2048,16.176931381225586,spec_scale,0.01,0.16176931381225587,9.80675652191155e-06,0.00037474263509079496
model.layers.7.self_attn.o_proj.weight,self_attn,1024,2048,16.176931381225586,spec_scale,0.03,0.4853079414367676,8.770236787663057e-05,0.0003723715760926628
model.layers.7.self_attn.o_proj.weight,self_attn,1024,2048,16.176931381225586,frame_rot,0.0001,0.0016176931381225587,-1.937546551719907e-09,-0.0007403888317001596
model.layers.7.self_attn.o_proj.weight,self_attn,1024,2048,16.176931381225586,frame_rot,0.0003,0.004853079414367675,6.990415523696011e-09,0.00029680293806467594
model.layers.7.self_attn.o_proj.weight,self_attn,1024,2048,16.176931381225586,frame_rot,0.001,0.016176931381225588,8.521071135175894e-08,0.0003256131264049676
model.layers.7.self_attn.o_proj.weight,self_attn,1024,2048,16.176931381225586,frame_rot,0.003,0.04853079414367676,8.063903759088011e-07,0.00034238169674678494
model.layers.7.self_attn.o_proj.weight,self_attn,1024,2048,16.176931381225586,frame_rot,0.01,0.16176931381225587,8.963022894256554e-06,0.00034250129594510587
model.layers.7.self_attn.o_proj.weight,self_attn,1024,2048,16.176931381225586,frame_rot,0.03,0.4853079414367676,8.05429251013621e-05,0.0003419736170099373
model.layers.7.self_attn.o_proj.weight,self_attn,1024,2048,16.176931381225586,gauss,0.0001,0.0016176931381225587,1.4481889756337149e-09,0.0005533920941402488
model.layers.7.self_attn.o_proj.weight,self_attn,1024,2048,16.176931381225586,gauss,0.0003,0.004853079414367675,2.0450975296933945e-08,0.0008683188479772641
model.layers.7.self_attn.o_proj.weight,self_attn,1024,2048,16.176931381225586,gauss,0.001,0.016176931381225588,2.4782439987861116e-07,0.0009470039196221746
model.layers.7.self_attn.o_proj.weight,self_attn,1024,2048,16.176931381225586,gauss,0.003,0.04853079414367676,2.2564512213873108e-06,0.0009580565702241423
model.layers.7.self_attn.o_proj.weight,self_attn,1024,2048,16.176931381225586,gauss,0.01,0.16176931381225587,2.5152291545321904e-05,0.0009611369458603213
model.layers.7.self_attn.o_proj.weight,self_attn,1024,2048,16.176931381225586,gauss,0.03,0.4853079414367676,0.00022739335053687413,0.0009654792952855936
model.layers.15.self_attn.q_proj.weight,self_attn,4096,1024,32.12224197387695,spec_rand,0.0001,0.0032122241973876957,-7.963809058462905e-10,-7.718077589797959e-05
model.layers.15.self_attn.q_proj.weight,self_attn,4096,1024,32.12224197387695,spec_rand,0.0003,0.009636672592163085,5.93256844709117e-09,6.388347759680161e-05
model.layers.15.self_attn.q_proj.weight,self_attn,4096,1024,32.12224197387695,spec_rand,0.001,0.032122241973876954,6.110002505380529e-08,5.9214721327696825e-05
model.layers.15.self_attn.q_proj.weight,self_attn,4096,1024,32.12224197387695,spec_rand,0.003,0.09636672592163086,5.576280130945497e-07,6.004687008599329e-05
model.layers.15.self_attn.q_proj.weight,self_attn,4096,1024,32.12224197387695,spec_rand,0.01,0.3212224197387695,6.2276310643298e-06,6.0354711422991534e-05
model.layers.15.self_attn.q_proj.weight,self_attn,4096,1024,32.12224197387695,spec_rand,0.03,0.9636672592163086,5.5922113973582306e-05,6.0218422207143384e-05
model.layers.15.self_attn.q_proj.weight,self_attn,4096,1024,32.12224197387695,spec_scale,0.0001,0.0032122241973876957,-4.8984316338667646e-11,-4.747285518897348e-06
model.layers.15.self_attn.q_proj.weight,self_attn,4096,1024,32.12224197387695,spec_scale,0.0003,0.009636672592163085,2.875315719942325e-09,3.096216571571638e-05
model.layers.15.self_attn.q_proj.weight,self_attn,4096,1024,32.12224197387695,spec_scale,0.001,0.032122241973876954,4.10192508485134e-08,3.975355993596829e-05
model.layers.15.self_attn.q_proj.weight,self_attn,4096,1024,32.12224197387695,spec_scale,0.003,0.09636672592163086,3.5613496306644773e-07,3.834956163994772e-05
model.layers.15.self_attn.q_proj.weight,self_attn,4096,1024,32.12224197387695,spec_scale,0.01,0.3212224197387695,3.958425223925699e-06,3.836283967557686e-05
model.layers.15.self_attn.q_proj.weight,self_attn,4096,1024,32.12224197387695,spec_scale,0.03,0.9636672592163086,3.5080368914749656e-05,3.777547586074239e-05
