matrix,family,m,n,w_fro,direction,eta,step_fro,kl,kl_per_step2
model.layers.19.self_attn.v_proj.weight,self_attn,512,1024,14.40697193145752,spec_rand,0.001,0.01440697193145752,0.00018226022319690273,0.8781050558072396
model.layers.19.self_attn.v_proj.weight,self_attn,512,1024,14.40697193145752,spec_rand,0.003,0.04322091579437256,0.00017718006132024243,0.09484772492658577
model.layers.19.self_attn.v_proj.weight,self_attn,512,1024,14.40697193145752,spec_rand,0.01,0.1440697193145752,0.00018913232264900848,0.009112138996737643
model.layers.19.self_attn.v_proj.weight,self_attn,512,1024,14.40697193145752,spec_rand,0.03,0.43220915794372555,0.00024777735670321663,0.001326397473649495
model.layers.19.self_attn.v_proj.weight,self_attn,512,1024,14.40697193145752,spec_scale,0.001,0.01440697193145752,0.0,0.0
model.layers.19.self_attn.v_proj.weight,self_attn,512,1024,14.40697193145752,spec_scale,0.003,0.04322091579437256,0.00018752403263199468,0.10038504181379629
model.layers.19.self_attn.v_proj.weight,self_attn,512,1024,14.40697193145752,spec_scale,0.01,0.1440697193145752,0.00019525114948345235,0.009406935781504528
model.layers.19.self_attn.v_proj.weight,self_attn,512,1024,14.40697193145752,spec_scale,0.03,0.43220915794372555,0.0002643333821446268,0.0014150249035783178
model.layers.19.self_attn.v_proj.weight,self_attn,512,1024,14.40697193145752,frame_rot,0.001,0.01440697193145752,0.0001602500771661575,0.7720631550038312
model.layers.19.self_attn.v_proj.weight,self_attn,512,1024,14.40697193145752,frame_rot,0.003,0.04322091579437256,0.000170684355928234,0.09137045511623287
model.layers.19.self_attn.v_proj.weight,self_attn,512,1024,14.40697193145752,frame_rot,0.01,0.1440697193145752,0.00018909607700399978,0.009110392730680527
model.layers.19.self_attn.v_proj.weight,self_attn,512,1024,14.40697193145752,frame_rot,0.03,0.43220915794372555,0.00026440843179333323,0.0014154266580637437
model.layers.19.self_attn.v_proj.weight,self_attn,512,1024,14.40697193145752,gauss,0.001,0.01440697193145752,0.0001695572481487988,0.8169038435082588
model.layers.19.self_attn.v_proj.weight,self_attn,512,1024,14.40697193145752,gauss,0.003,0.04322091579437256,0.00018308106805406166,0.09800664167663474
model.layers.19.self_attn.v_proj.weight,self_attn,512,1024,14.40697193145752,gauss,0.01,0.1440697193145752,0.00018808487001167103,0.009061674148158423
