matrix,m,n,kl_off_full,kl_off_without,share_off,kl_task_full,kl_task_without,share_task
model.layers.11.mlp.down_proj.weight,1024,3584,0.005858842898928863,0.005826329396563277,0.005549475028854389,0.5057602868779256,0.501440572354551,0.008541031463819349
model.layers.12.linear_attn.out_proj.weight,1024,2048,0.005858842898928863,0.0058154452029734625,0.0074072127729069015,0.5057602868779256,0.5030821428153984,0.005295283421835051
model.layers.12.linear_attn.in_proj_qkv.weight,6144,1024,0.005858842898928863,0.005850446286164814,0.0014331520590157298,0.5057602868779256,0.5049744070126079,0.0015538583904423087
model.layers.12.linear_attn.in_proj_z.weight,2048,1024,0.005858842898928863,0.005859686155582911,-0.0001439288727476118,0.5057602868779256,0.504687850984394,0.0021204430663227525
model.layers.12.linear_attn.in_proj_b.weight,16,1024,0.005858842898928863,0.00585713017881422,0.00029233078001744683,0.5057602868779256,0.5056146094709832,0.0002880364685049486
model.layers.12.linear_attn.in_proj_a.weight,16,1024,0.005858842898928863,0.005858707932308906,2.30363951185808e-05,0.5057602868779256,0.5057614086834938,-2.2180578376218563e-06
model.layers.12.mlp.gate_proj.weight,3584,1024,0.005858842898928863,0.005820245691561948,0.006587854979687391,0.5057602868779256,0.5041356195338875,0.003212326839790447
model.layers.12.mlp.up_proj.weight,3584,1024,0.005858842898928863,0.005853792738499527,0.0008619723239651211,0.5057602868779256,0.5012186060900252,0.008979907884694383
model.layers.12.mlp.down_proj.weight,1024,3584,0.005858842898928863,0.0058358996925447,0.00391599617534677,0.5057602868779256,0.500282207494961,0.01083137511009613
model.layers.13.linear_attn.out_proj.weight,1024,2048,0.005858842898928863,0.005854761124448509,0.0006966861120479839,0.5057602868779256,0.5043407962649646,0.0028066470416717726
model.layers.13.linear_attn.in_proj_qkv.weight,6144,1024,0.005858842898928863,0.0058226289932151185,0.00618106788976458,0.5057602868779256,0.5050584516680766,0.0013876835094772666
model.layers.13.linear_attn.in_proj_z.weight,2048,1024,0.005858842898928863,0.00585953868349615,-0.00011875801746019654,0.5057602868779256,0.5050685656865231,0.0013676858570144113
model.layers.13.linear_attn.in_proj_b.weight,16,1024,0.005858842898928863,0.005868876769013678,-0.0017126026858731436,0.5057602868779256,0.5055324216740494,0.0004505399292672463
model.layers.13.linear_attn.in_proj_a.weight,16,1024,0.005858842898928863,0.005857768390114999,0.00018339949242551778,0.5057602868779256,0.5057814187417793,-4.178237082252956e-05
model.layers.13.mlp.gate_proj.weight,3584,1024,0.005858842898928863,0.005861213954137675,-0.0004046968402660056,0.5057602868779256,0.5044474787095374,0.002595712242438375
model.layers.13.mlp.up_proj.weight,3584,1024,0.005858842898928863,0.005852480957688897,0.0010858699148819095,0.5057602868779256,0.5033540144723406,0.004757732997264341
model.layers.13.mlp.down_proj.weight,1024,3584,0.005858842898928863,0.005815565644593887,0.00738665553617901,0.5057602868779256,0.5013406458219429,0.008738608330174147
model.layers.14.linear_attn.out_proj.weight,1024,2048,0.005858842898928863,0.005835511546027613,0.003982245863857536,0.5057602868779256,0.5040434140136556,0.003394637556199509
model.layers.14.linear_attn.in_proj_qkv.weight,6144,1024,0.005858842898928863,0.00582018268231193,0.0065986095349989116,0.5057602868779256,0.5043976342575851,0.0026942657533517433
model.layers.14.linear_attn.in_proj_z.weight,2048,1024,0.005858842898928863,0.005847697068517001,0.001902394483712766,0.5057602868779256,0.5051322749090982,0.001241718626632804
model.layers.14.linear_attn.in_proj_b.weight,16,1024,0.005858842898928863,0.005850088941009685,0.001494144504331829,0.5057602868779256,0.5057066606401979,0.00010603093821148768
model.layers.14.linear_attn.in_proj_a.weight,16,1024,0.005858842898928863,0.005856518462298194,0.0003967398803429445,0.5057602868779256,0.505719701125124,8.024701396025513e-05
model.layers.14.mlp.gate_proj.weight,3584,1024,0.005858842898928863,0.005850451004374488,0.0014323467447657778,0.5057602868779256,0.5040927269760163,0.0032971349178150255
model.layers.14.mlp.up_proj.weight,3584,1024,0.005858842898928863,0.005857930167334932,0.00015578700601404094,0.5057602868779256,0.5028936112137666,0.005668052115865185
model.layers.14.mlp.down_proj.weight,1024,3584,0.005858842898928863,0.005728192357417489,0.022299717498016625,0.5057602868779256,0.5009567222301566,0.00949771022438628
model.layers.15.self_attn.q_proj.weight,4096,1024,0.005858842898928863,0.005849222324426887,0.0016420605003311106,0.5057602868779256,0.5049246577484291,0.0016522236940643698
model.layers.15.self_attn.k_proj.weight,512,1024,0.005858842898928863,0.005854993918897461,0.0006569522511187253,0.5057602868779256,0.5051813787866973,0.0011446293950874153
model.layers.15.self_attn.v_proj.weight,512,1024,0.005858842898928863,0.005831396900967117,0.004684542397742741,0.5057602868779256,0.5048856250114127,0.0017294000521714814
model.layers.15.self_attn.o_proj.weight,1024,2048,0.005858842898928863,0.005730829768250299,0.02184955850274939,0.5057602868779256,0.5043756858131956,0.0027376626845836416
model.layers.15.mlp.gate_proj.weight,3584,1024,0.005858842898928863,0.005847145827556078,0.001996481485264545,0.5057602868779256,0.5044191658876307,0.0026516929563088487
model.layers.15.mlp.up_proj.weight,3584,1024,0.005858842898928863,0.00582217372158398,0.0062587746381777,0.5057602868779256,0.5033403311563155,0.004784787940841695
model.layers.15.mlp.down_proj.weight,1024,3584,0.005858842898928863,0.005751116123890695,0.01838703936879127,0.5057602868779256,0.5011060586785038,0.009202439021364306
model.layers.16.linear_attn.out_proj.weight,1024,2048,0.005858842898928863,0.00583891350885989,0.0034015914768112943,0.5057602868779256,0.5047470117693243,0.0020034691036266983
model.layers.16.linear_attn.in_proj_qkv.weight,6144,1024,0.005858842898928863,0.005859471704937736,-0.00010732597199147875,0.5057602868779256,0.5054085587927067,0.0006954442536208916
