matrix,m,n,kl_off_full,kl_off_without,share_off,kl_task_full,kl_task_without,share_task
model.layers.5.mlp.gate_proj.weight,3584,1024,0.02582835705204324,0.02576964540504985,0.0022731467926934146,0.9045414772918972,0.9044789947115385,6.90765232189694e-05
model.layers.5.mlp.up_proj.weight,3584,1024,0.02582835705204324,0.025499382756498826,0.012736942380095706,0.9045414772918972,0.9013882810703667,0.003485960899184848
model.layers.5.mlp.down_proj.weight,1024,3584,0.02582835705204324,0.025554129641677883,0.010617299807835212,0.9045414772918972,0.9010063931897692,0.003908150362227358
model.layers.6.linear_attn.out_proj.weight,1024,2048,0.02582835705204324,0.025514712016513584,0.01214343734282719,0.9045414772918972,0.9023425190870338,0.0024310197598089722
model.layers.6.linear_attn.in_proj_qkv.weight,6144,1024,0.02582835705204324,0.02566733593521287,0.006234276400388983,0.9045414772918972,0.9032766178736241,0.001398343193791285
model.layers.6.linear_attn.in_proj_z.weight,2048,1024,0.02582835705204324,0.02577449663354262,0.0020853211217459755,0.9045414772918972,0.90425274382013,0.0003192042366388925
model.layers.6.linear_attn.in_proj_b.weight,16,1024,0.02582835705204324,0.025827957593365754,1.5465895747079905e-05,0.9045414772918972,0.9045368787745802,5.083810341921513e-06
model.layers.6.linear_attn.in_proj_a.weight,16,1024,0.02582835705204324,0.025826750151810924,6.221457404664843e-05,0.9045414772918972,0.904524455957015,1.8817638891555077e-05
model.layers.6.mlp.gate_proj.weight,3584,1024,0.02582835705204324,0.025768672545698992,0.0023108131200132442,0.9045414772918972,0.9040746981948633,0.0005160394617075292
model.layers.6.mlp.up_proj.weight,3584,1024,0.02582835705204324,0.02558115267612297,0.009571045321317362,0.9045414772918972,0.9031911089356199,0.0014928761037250604
model.layers.6.mlp.down_proj.weight,1024,3584,0.02582835705204324,0.025506504870837457,0.012461194514125085,0.9045414772918972,0.9018666448648276,0.0029571141779786148
model.layers.7.self_attn.q_proj.weight,4096,1024,0.02582835705204324,0.02578990049360119,0.0014889277844720716,0.9045414772918972,0.9047903066039534,-0.00027508889122618285
model.layers.7.self_attn.k_proj.weight,512,1024,0.02582835705204324,0.025821145094031918,0.00027922635562116493,0.9045414772918972,0.9053397864060726,-0.0008825566701102794
model.layers.7.self_attn.v_proj.weight,512,1024,0.02582835705204324,0.025674121432246427,0.005971561392233871,0.9045414772918972,0.9035374845361283,0.0011099466204410602
model.layers.7.self_attn.o_proj.weight,1024,2048,0.02582835705204324,0.024917935542162106,0.035248912969828794,0.9045414772918972,0.8993836220818958,0.005702176560707262
model.layers.7.mlp.gate_proj.weight,3584,1024,0.02582835705204324,0.025780943917545426,0.0018357007533339464,0.9045414772918972,0.9040201242456068,0.0005763727362190219
model.layers.7.mlp.up_proj.weight,3584,1024,0.02582835705204324,0.025571713387521816,0.009936507537211758,0.9045414772918972,0.9016116702496207,0.003238996901554936
model.layers.7.mlp.down_proj.weight,1024,3584,0.02582835705204324,0.02557014158219857,0.00999736333690815,0.9045414772918972,0.899810046619667,0.005230750375754489
model.layers.8.linear_attn.out_proj.weight,1024,2048,0.02582835705204324,0.02551686988012637,0.01205989104491767,0.9045414772918972,0.9014442342433803,0.0034241028479862212
model.layers.8.linear_attn.in_proj_qkv.weight,6144,1024,0.02582835705204324,0.025674880743647967,0.005942163029805769,0.9045414772918972,0.9029388052543387,0.0017718060230434984
model.layers.8.linear_attn.in_proj_z.weight,2048,1024,0.02582835705204324,0.025798219098952226,0.0011668552138368593,0.9045414772918972,0.9040990822869988,0.0004890820553888897
model.layers.8.linear_attn.in_proj_b.weight,16,1024,0.02582835705204324,0.025827909396764433,1.733193009167966e-05,0.9045414772918972,0.9045466524572423,-5.721313477646817e-06
model.layers.8.linear_attn.in_proj_a.weight,16,1024,0.02582835705204324,0.025829940039555,-6.128874200439505e-05,0.9045414772918972,0.9045556945987874,-1.571769481789609e-05
model.layers.8.mlp.gate_proj.weight,3584,1024,0.02582835705204324,0.025754890248280517,0.0028444241968117456,0.9045414772918972,0.903654817801041,0.0009802308828454898
model.layers.8.mlp.up_proj.weight,3584,1024,0.02582835705204324,0.025540557560980018,0.011142771895375159,0.9045414772918972,0.9011685000900729,0.0037289359156007507
model.layers.8.mlp.down_proj.weight,1024,3584,0.02582835705204324,0.025567559750699066,0.010097324456940004,0.9045414772918972,0.8990153389285567,0.006109325555623157
model.layers.9.linear_attn.out_proj.weight,1024,2048,0.02582835705204324,0.025455844817591496,0.014422606660622894,0.9045414772918972,0.9011976632403448,0.003696695105196768
model.layers.9.linear_attn.in_proj_qkv.weight,6144,1024,0.02582835705204324,0.025547432807711656,0.010876582035997617,0.9045414772918972,0.9028285778821777,0.0018936659652663002
model.layers.9.linear_attn.in_proj_z.weight,2048,1024,0.02582835705204324,0.025747219714719893,0.0031414052841169937,0.9045414772918972,0.903788678953055,0.0008322430289166016
model.layers.9.linear_attn.in_proj_b.weight,16,1024,0.02582835705204324,0.02582739466230594,3.726097387313221e-05,0.9045414772918972,0.9045487065369144,-7.992165311110355e-06
model.layers.9.linear_attn.in_proj_a.weight,16,1024,0.02582835705204324,0.02582379662547073,0.00017656665359400137,0.9045414772918972,0.9045624817844117,-2.322114910358053e-05
model.layers.9.mlp.gate_proj.weight,3584,1024,0.02582835705204324,0.025723815926678644,0.004047532917171193,0.9045414772918972,0.903160586641472,0.0015266194918549525
model.layers.9.mlp.up_proj.weight,3584,1024,0.02582835705204324,0.025496838920749196,0.012835432413530912,0.9045414772918972,0.9004426847824388,0.004531348326590523
model.layers.9.mlp.down_proj.weight,1024,3584,0.02582835705204324,0.02551101975052403,0.012286391305485922,0.9045414772918972,0.8994803722452711,0.005595216110795165
model.layers.10.linear_attn.out_proj.weight,1024,2048,0.02582835705204324,0.02551717948723414,0.012047903944571114,0.9045414772918972,0.9007172457069426,0.004227812301547451
model.layers.10.linear_attn.in_proj_qkv.weight,6144,1024,0.02582835705204324,0.025559871925810777,0.010394975014921592,0.9045414772918972,0.9016441113843195,0.003203132172835299
model.layers.10.linear_attn.in_proj_z.weight,2048,1024,0.02582835705204324,0.02579215854783308,0.0014015023927856918,0.9045414772918972,0.9045344955412865,7.718552201274598e-06
model.layers.10.linear_attn.in_proj_b.weight,16,1024,0.02582835705204324,0.0258280859368818,1.0496802444581732e-05,0.9045414772918972,0.9045389536078509,2.790014730802426e-06
model.layers.10.linear_attn.in_proj_a.weight,16,1024,0.02582835705204324,0.025828365007770252,-3.080229606933216e-07,0.9045414772918972,0.9045018516950395,4.380738512543836e-05
model.layers.10.mlp.gate_proj.weight,3584,1024,0.02582835705204324,0.02573847813756032,0.0034798541115804715,0.9045414772918972,0.9020288829387155,0.0027777547146915493
model.layers.10.mlp.up_proj.weight,3584,1024,0.02582835705204324,0.02550424161930966,0.012548821130221377,0.9045414772918972,0.8988038306733734,0.00634315480557246
model.layers.10.mlp.down_proj.weight,1024,3584,0.02582835705204324,0.02542545298801987,0.015599291244562496,0.9045414772918972,0.8960372699039608,0.009401677647106976
model.layers.11.self_attn.q_proj.weight,4096,1024,0.02582835705204324,0.025784719338163592,0.0016895272816509488,0.9045414772918972,0.9024092441830556,0.0023572529976461087
model.layers.11.self_attn.k_proj.weight,512,1024,0.02582835705204324,0.025821789548194817,0.0002542749364657926,0.9045414772918972,0.9040002320607916,0.0005983641930118466
model.layers.11.self_attn.v_proj.weight,512,1024,0.02582835705204324,0.025707899281674013,0.004663779818689595,0.9045414772918972,0.9029368926243796,0.00177392049762215
model.layers.11.self_attn.o_proj.weight,1024,2048,0.02582835705204324,0.025017488046842503,0.03139452515569863,0.9045414772918972,0.8959095256815208,0.00954290303659655
model.layers.11.mlp.gate_proj.weight,3584,1024,0.02582835705204324,0.025691501739650225,0.005298645675265279,0.9045414772918972,0.9013865248435532,0.0034879024650030788
model.layers.11.mlp.up_proj.weight,3584,1024,0.02582835705204324,0.02548516234814691,0.013287515857272947,0.9045414772918972,0.8973214457727987,0.007981979489447455
model.layers.11.mlp.down_proj.weight,1024,3584,0.02582835705204324,0.025461777415307668,0.014192913470916002,0.9045414772918972,0.8939234168169885,0.011738610933241023
model.layers.12.linear_attn.out_proj.weight,1024,2048,0.02582835705204324,0.025395663936847244,0.01675263797554505,0.9045414772918972,0.8992681796866391,0.005829801880446461
model.layers.12.linear_attn.in_proj_qkv.weight,6144,1024,0.02582835705204324,0.02554867942377908,0.010828316632785495,0.9045414772918972,0.8976786378158816,0.007587092077371738
model.layers.12.linear_attn.in_proj_z.weight,2048,1024,0.02582835705204324,0.02574599425873307,0.003188851429620998,0.9045414772918972,0.9025867825686908,0.0021609785424748784
model.layers.12.linear_attn.in_proj_b.weight,16,1024,0.02582835705204324,0.02582615188735186,8.537766017935322e-05,0.9045414772918972,0.9044495592864439,0.0001016183422881678
model.layers.12.linear_attn.in_proj_a.weight,16,1024,0.02582835705204324,0.025828190487712083,6.448893780652831e-06,0.9045414772918972,0.9045333296072178,9.007530206051051e-06
model.layers.12.mlp.gate_proj.weight,3584,1024,0.02582835705204324,0.025719016883838153,0.004233338109147722,0.9045414772918972,0.8998565219417244,0.005179370396810379
model.layers.12.mlp.up_proj.weight,3584,1024,0.02582835705204324,0.025385503460263012,0.017146022524308968,0.9045414772918972,0.894674683540258,0.010908061155116111
model.layers.12.mlp.down_proj.weight,1024,3584,0.02582835705204324,0.025386909908183874,0.01709156888956842,0.9045414772918972,0.8935268496296166,0.012177028846988014
model.layers.13.linear_attn.out_proj.weight,1024,2048,0.02582835705204324,0.025459666381321043,0.014274646659843682,0.9045414772918972,0.8994084016230101,0.005674781972690779
model.layers.13.linear_attn.in_proj_qkv.weight,6144,1024,0.02582835705204324,0.025439766203008547,0.015045124560253531,0.9045414772918972,0.8947680387556421,0.010804853930541314
model.layers.13.linear_attn.in_proj_z.weight,2048,1024,0.02582835705204324,0.025786886963553184,0.0016056030357058937,0.9045414772918972,0.902490637961248,0.002267269530623617
model.layers.13.linear_attn.in_proj_b.weight,16,1024,0.02582835705204324,0.025828551621333715,-7.533165585549284e-06,0.9045414772918972,0.9045001129306756,4.572964563820392e-05
model.layers.13.linear_attn.in_proj_a.weight,16,1024,0.02582835705204324,0.025826872959775128,5.745980145477336e-05,0.9045414772918972,0.9044926193173372,5.401407872007713e-05
